DATE	EXMAUS
2008-06-01	3.2568
2008-07-01	3.2476
2008-08-01	3.3300
2008-09-01	3.4405
2008-10-01	3.5222
2008-11-01	3.5843
2008-12-01	3.5483
2009-01-01	3.5705
2009-02-01	3.6345
2009-03-01	3.6726
2009-04-01	3.6053
2009-05-01	3.5218
2009-06-01	3.5156
2009-07-01	3.5443
2009-08-01	3.5156
2009-09-01	3.4899
2009-10-01	3.4016
2009-11-01	3.3886
2009-12-01	3.4099
2010-01-01	3.3750
2010-02-01	3.4139
2010-03-01	3.3205
2010-04-01	3.2044
2010-05-01	3.2509
2010-06-01	3.2633
2010-07-01	3.2035
2010-08-01	3.1516
2010-09-01	3.1032
2010-10-01	3.0989
2010-11-01	3.1132
2010-12-01	3.1283
2011-01-01	3.0595
2011-02-01	3.0453
2011-03-01	3.0341
2011-04-01	3.0101
2011-05-01	3.0127
2011-06-01	3.0269
2011-07-01	2.9924
2011-08-01	2.9824
2011-09-01	3.0838
2011-10-01	3.1336
2011-11-01	3.1521
2011-12-01	3.1590
2012-01-01	3.1092
2012-02-01	3.0220
2012-03-01	3.0444
2012-04-01	3.0586
2012-05-01	3.0978
2012-06-01	3.1783
2012-07-01	3.1653
2012-08-01	3.1153
2012-09-01	3.0758
2012-10-01	3.0524
2012-11-01	3.0555
2012-12-01	3.0537
2013-01-01	3.0407
2013-02-01	3.0964
2013-03-01	3.1074
2013-04-01	3.0480
2013-05-01	3.0188
2013-06-01	3.1433
2013-07-01	3.1916
2013-08-01	3.2769
2013-09-01	3.2495
2013-10-01	3.1734
2013-11-01	3.1961
2013-12-01	3.2491
2014-01-01	3.3028
2014-02-01	3.3068
2014-03-01	3.2801
2014-04-01	3.2539
2014-05-01	3.2291
2014-06-01	3.2175
2014-07-01	3.1808
2014-08-01	3.1766
2014-09-01	3.2182
2014-10-01	3.2677
2014-11-01	3.3454
2014-12-01	3.4768
2015-01-01	3.5847
2015-02-01	3.5972
2015-03-01	3.6793
2015-04-01	3.6320
2015-05-01	3.5976
2015-06-01	3.7371
2015-07-01	3.8020
2015-08-01	3.8811
